Date,RecFumbTeam,Punter,Muffed,HomeTeam,AwayTeam,desc
2009-12-06,SEA,J.Ryan,False,SEA,SF,"(4:50) J.Ryan punts 55 yards to SF 29, Center-K.Houser. A.Battle to SF 23 for -6 yards. FUMBLES, RECOVERED by SEA-N.Reed at SF 15. N.Reed to SF 13 for 2 yards (S.McKillop). #83 fumbled while attempting a handoff to #81 B.Jones."
2009-12-13,MIN,K.Huber,False,MIN,CIN,"(4:56) K.Huber punts 42 yards to MIN 20, Center-C.Harris. D.Reynaud to MIN 35 for 15 yards (R.Maualuga). FUMBLES (R.Maualuga), recovered by MIN-Er.Henderson at MIN 37. Er.Henderson to MIN 37 for no gain (B.Johnson)."
2009-12-13,CHI,B.Maynard,False,CHI,GB,"(1:24) (Punt formation) B.Maynard FUMBLES (Aborted) at CHI 42, and recovers at CHI 42. B.Maynard punts 45 yards to GB 0, penalty enforced. PENALTY on CHI-D.McClover, Ineligible Downfield Kick, 5 yards, enforced at GB 20."
2009-12-27,ARI,B.Graham,False,ARI,STL,"(9:47) B.Graham punts 46 yards to SL 18, Center-M.Leach. D.Amendola to ARI 48 for 34 yards (B.Graham). FUMBLES (B.Graham), RECOVERED by ARI-R.Walker at ARI 43. R.Walker to ARI 43 for no gain (B.Bajema). Penalty on SL-J.King, Illegal Block Above the Waist, declined."
2010-01-03,,D.Jones,False,STL,SF,"(4:38) D.Jones punts 62 yards to SF 31, Center-R.Neill. A.Battle to SF 41 for 10 yards (L.Grant). FUMBLES (L.Grant), and recovers at SF 41."
2010-09-12,CLE,C.Bryan,False,TB,CLE,"(4:59) (Punt formation) C.Bryan punts 37 yards to CLE 22, Center-A.Economos. J.Cribbs to CLE 29 for 7 yards (A.Economos). FUMBLES (A.Economos), recovered by CLE-B.Costanzo at CLE 29. B.Costanzo to CLE 29 for no gain (A.Economos)."
2010-09-12,,T.Masthay,False,PHI,GB,"(14:12) T.Masthay punts 40 yards to PHI 17, Center-B.Goode. D.Jackson to PHI 21 for 4 yards. FUMBLES, ball out of bounds at PHI 21."
2010-09-12,,D.Jones,False,STL,ARI,"(13:10) D.Jones punts 63 yards to ARI 16, Center-C.Massey. M.Komar to ARI 22 for 6 yards (J.Hull). FUMBLES (J.Hull), and recovers at ARI 22. M.Komar to ARI 22 for no gain (J.King)."
2010-09-13,,S.Koch,False,NYJ,BAL,"(2:07) S.Koch punts 47 yards to NYJ 40, Center-M.Cox. K.Wilson to NYJ 40 for no gain (D.Reed). FUMBLES (D.Reed), and recovers at NYJ 40. K.Wilson to NYJ 40 for no gain (D.Reed)."
2010-09-19,IND,M.Dodge,False,IND,NYG,"(8:13) M.Dodge punts 62 yards to IND 20, Center-Z.DeOssie. J.Powers to IND 23 for 3 yards. FUMBLES, and recovers at IND 22. J.Powers to IND 22 for no gain (M.Boley). PENALTY on IND-D.Moore, Illegal Block Above the Waist, 10 yards, enforced at IND 20."
